CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0000000000000000AA;08/12/2015;13;0,27;R
ES0000000000000000AA;08/12/2015;14;0,335;R
ES0000000000000000AA;08/12/2015;15;0,266;R
ES0000000000000000AA;08/12/2015;16;0,335;R
ES0000000000000000AA;08/12/2015;17;0,299;R
ES0000000000000000AA;08/12/2015;18;0,34;R
ES0000000000000000AA;08/12/2015;19;0,277;R
ES0000000000000000AA;08/12/2015;20;0,37;R
ES0000000000000000AA;08/12/2015;21;0,365;R
ES0000000000000000AA;08/12/2015;22;0,306;R
ES0000000000000000AA;08/12/2015;23;0,23;R
ES0000000000000000AA;08/12/2015;24;0,291;R
ES0000000000000000AA;09/12/2015;1;0,272;R
ES0000000000000000AA;09/12/2015;2;0,164;R
ES0000000000000000AA;09/12/2015;3;0,117;R
ES0000000000000000AA;09/12/2015;4;0,164;R
ES0000000000000000AA;09/12/2015;5;0,116;R
ES0000000000000000AA;09/12/2015;6;0,162;R
ES0000000000000000AA;09/12/2015;7;0,116;R
ES0000000000000000AA;09/12/2015;8;0,165;R
ES0000000000000000AA;09/12/2015;9;0,115;R
ES0000000000000000AA;09/12/2015;10;0,224;R
ES0000000000000000AA;09/12/2015;11;0,171;R
ES0000000000000000AA;09/12/2015;12;0,23;R
ES0000000000000000AA;09/12/2015;13;0,154;R
ES0000000000000000AA;09/12/2015;14;0,186;R
ES0000000000000000AA;09/12/2015;15;0,155;R
ES0000000000000000AA;09/12/2015;16;0,239;R
ES0000000000000000AA;09/12/2015;17;0,314;R
ES0000000000000000AA;09/12/2015;18;0,369;R
ES0000000000000000AA;09/12/2015;19;0,299;R
ES0000000000000000AA;09/12/2015;20;0,346;R
ES0000000000000000AA;09/12/2015;21;0,329;R
ES0000000000000000AA;09/12/2015;22;0,341;R
ES0000000000000000AA;09/12/2015;23;0,183;R
ES0000000000000000AA;09/12/2015;24;0,214;R
ES0000000000000000AA;10/12/2015;1;0,18;R
ES0000000000000000AA;10/12/2015;2;0,21;R
ES0000000000000000AA;10/12/2015;3;0,168;R
ES0000000000000000AA;10/12/2015;4;0,149;R
ES0000000000000000AA;10/12/2015;5;0,135;R
ES0000000000000000AA;10/12/2015;6;0,145;R
ES0000000000000000AA;10/12/2015;7;0,132;R
ES0000000000000000AA;10/12/2015;8;0,148;R
ES0000000000000000AA;10/12/2015;9;0,171;R
ES0000000000000000AA;10/12/2015;10;0,243;R
ES0000000000000000AA;10/12/2015;11;0,269;R
ES0000000000000000AA;10/12/2015;12;0,319;R
ES0000000000000000AA;10/12/2015;13;0,331;R
ES0000000000000000AA;10/12/2015;14;0,156;R
ES0000000000000000AA;10/12/2015;15;0,235;R
ES0000000000000000AA;10/12/2015;16;0,311;R
ES0000000000000000AA;10/12/2015;17;0,233;R
ES0000000000000000AA;10/12/2015;18;0,344;R
ES0000000000000000AA;10/12/2015;19;0,287;R
ES0000000000000000AA;10/12/2015;20;0,297;R
ES0000000000000000AA;10/12/2015;21;0,296;R
ES0000000000000000AA;10/12/2015;22;0,349;R
ES0000000000000000AA;10/12/2015;23;0,224;R
ES0000000000000000AA;10/12/2015;24;0,171;R
ES0000000000000000AA;11/12/2015;1;0,215;R
ES0000000000000000AA;11/12/2015;2;0,197;R
ES0000000000000000AA;11/12/2015;3;0,143;R
ES0000000000000000AA;11/12/2015;4;0,156;R
ES0000000000000000AA;11/12/2015;5;0,128;R
ES0000000000000000AA;11/12/2015;6;0,158;R
ES0000000000000000AA;11/12/2015;7;0,12;R
ES0000000000000000AA;11/12/2015;8;0,268;R
ES0000000000000000AA;11/12/2015;9;0,247;R
ES0000000000000000AA;11/12/2015;10;0,32;R
ES0000000000000000AA;11/12/2015;11;0,29;R
ES0000000000000000AA;11/12/2015;12;0,345;R
ES0000000000000000AA;11/12/2015;13;0,284;R
ES0000000000000000AA;11/12/2015;14;0,255;R
ES0000000000000000AA;11/12/2015;15;0,328;R
ES0000000000000000AA;11/12/2015;16;0,286;R
ES0000000000000000AA;11/12/2015;17;0,347;R
ES0000000000000000AA;11/12/2015;18;0,291;R
ES0000000000000000AA;11/12/2015;19;0,301;R
ES0000000000000000AA;11/12/2015;20;0,358;R
ES0000000000000000AA;11/12/2015;21;0,181;R
ES0000000000000000AA;11/12/2015;22;0,279;R
ES0000000000000000AA;11/12/2015;23;0,219;R
ES0000000000000000AA;11/12/2015;24;0,195;R
ES0000000000000000AA;12/12/2015;1;0,241;R
ES0000000000000000AA;12/12/2015;2;0,167;R
ES0000000000000000AA;12/12/2015;3;0,192;R
ES0000000000000000AA;12/12/2015;4;0,121;R
ES0000000000000000AA;12/12/2015;5;0,161;R
ES0000000000000000AA;12/12/2015;6;0,136;R
ES0000000000000000AA;12/12/2015;7;0,141;R
ES0000000000000000AA;12/12/2015;8;0,147;R
ES0000000000000000AA;12/12/2015;9;0,164;R
ES0000000000000000AA;12/12/2015;10;0,282;R
ES0000000000000000AA;12/12/2015;11;0,301;R
ES0000000000000000AA;12/12/2015;12;0,165;R
ES0000000000000000AA;12/12/2015;13;0,116;R
ES0000000000000000AA;12/12/2015;14;0,217;R
ES0000000000000000AA;12/12/2015;15;0,185;R
ES0000000000000000AA;12/12/2015;16;0,204;R
ES0000000000000000AA;12/12/2015;17;0,219;R
ES0000000000000000AA;12/12/2015;18;0,214;R
ES0000000000000000AA;12/12/2015;19;0,219;R
ES0000000000000000AA;12/12/2015;20;0,225;R
ES0000000000000000AA;12/12/2015;21;0,293;R
ES0000000000000000AA;12/12/2015;22;0,298;R
ES0000000000000000AA;12/12/2015;23;0,239;R
ES0000000000000000AA;12/12/2015;24;0,265;R
ES0000000000000000AA;13/12/2015;1;0,236;R
ES0000000000000000AA;13/12/2015;2;0,171;R
ES0000000000000000AA;13/12/2015;3;0,211;R
ES0000000000000000AA;13/12/2015;4;0,17;R
ES0000000000000000AA;13/12/2015;5;0,136;R
ES0000000000000000AA;13/12/2015;6;0,15;R
ES0000000000000000AA;13/12/2015;7;0,118;R
ES0000000000000000AA;13/12/2015;8;0,155;R
ES0000000000000000AA;13/12/2015;9;0,113;R
ES0000000000000000AA;13/12/2015;10;0,236;R
ES0000000000000000AA;13/12/2015;11;0,159;R
