Fecha;Hora;Gi;Ta;PFV
2015-1-23;24;0;9,9;0,00
2015-1-24;1;0;9,4;0,00
2015-1-24;2;0;8,9;0,00
2015-1-24;3;0;8,4;0,00
2015-1-24;4;0;7,9;0,00
2015-1-24;5;0;7,4;0,00
2015-1-24;6;0;6,9;0,00
2015-1-24;7;0;6,4;0,00
2015-1-24;8;0;5,9;0,00
2015-1-24;9;12;6,3;2,82
2015-1-24;10;58;6,9;13,48
2015-1-24;11;90;7,4;20,76
2015-1-24;12;76;7,6;17,55
2015-1-24;13;216;8,2;48,65
2015-1-24;14;81;8,2;18,64
2015-1-24;15;26;7,8;6,05
2015-1-24;16;57;7,7;13,20
2015-1-24;17;16;7,4;3,73
2015-1-24;18;0;7,1;0,00
2015-1-24;19;0;6,9;0,00
2015-1-24;20;0;6,6;0,00
2015-1-24;21;0;6,4;0,00
2015-1-24;22;0;6,1;0,00
2015-1-24;23;0;5,9;0,00
2015-1-24;24;0;5,6;0,00
2015-1-25;1;0;5,4;0,00
2015-1-25;2;0;5,3;0,00
2015-1-25;3;0;5,1;0,00
2015-1-25;4;0;4,9;0,00
2015-1-25;5;0;4,7;0,00
2015-1-25;6;0;4,5;0,00
2015-1-25;7;0;4,4;0,00
2015-1-25;8;0;4,2;0,00
2015-1-25;9;119;5,7;27,54
2015-1-25;10;476;7,8;102,92
2015-1-25;11;626;9,2;131,00
2015-1-25;12;641;10,3;133,04
2015-1-25;13;646;10,9;133,54
2015-1-25;14;533;11,2;112,19
2015-1-25;15;299;10,8;65,61
2015-1-25;16;95;9,9;21,64
2015-1-25;17;146;9,1;33,11
2015-1-25;18;0;9;0,00
2015-1-25;19;0;9;0,00
2015-1-25;20;0;8,9;0,00
2015-1-25;21;0;8,8;0,00
2015-1-25;22;0;8,8;0,00
2015-1-25;23;0;8,7;0,00
2015-1-25;24;0;8,7;0,00
2015-1-26;1;0;8,6;0,00
2015-1-26;2;0;8,7;0,00
2015-1-26;3;0;8,7;0,00
2015-1-26;4;0;8,7;0,00
2015-1-26;5;0;8,7;0,00
2015-1-26;6;0;8,7;0,00
